"first_name","year","proportion"
"Michael",1899,"0.11054349075709025900"
"Matthew",1900,"0.02887233541658338100"
"Michael",1900,"0.10993696947083672000"
"Christopher",1900,"0.01221521883009296900"
"Christopher",1901,"0.009831931801094236174600"
"Matthew",1901,"0.02573652736168785400"
"Michael",1901,"0.11104299445941725600"
"Christopher",1902,"0.01215308753067361700"
"Matthew",1902,"0.02689193836574587600"
"Michael",1902,"0.11894511200233753000"
"Matthew",1903,"0.02675760755508919200"
"Michael",1903,"0.12224554039874081800"
"Christopher",1903,"0.01311647429171038800"
"Christopher",1904,"0.01065717599706555900"
"Matthew",1904,"0.02404060631896184200"
"Michael",1904,"0.11450268164289042400"
"Christopher",1905,"0.01179459477310738000"
"Matthew",1905,"0.02524043281444979400"
"Michael",1905,"0.12101254237208172200"
"Matthew",1906,"0.03174225290640003200"
"Ryan",1906,"0.002333989184294119981000"
"Michael",1906,"0.12510182027816483100"
"Christopher",1906,"0.01143654700304118800"
"Christopher",1907,"0.01117342443971722600"
"Matthew",1907,"0.02664431981778723200"
"Michael",1907,"0.12591589849373643600"
"Christopher",1908,"0.01105089962508799800"
"Matthew",1908,"0.03110623598172917900"
"Michael",1908,"0.14079664707519523300"
"Matthew",1909,"0.02875451856720341800"
"Michael",1909,"0.12558095864043941600"
"Christopher",1909,"0.009780448492246060435300"
"Christopher",1910,"0.01185012637313339300"
"Matthew",1910,"0.03334964136438969300"
"Michael",1910,"0.14440225423261120900"
"Christopher",1911,"0.01288261762373133400"
"Ryan",1911,"0.000931273563161301237500"
"Matthew",1911,"0.03492275861854879600"
"Michael",1911,"0.18097749577434620700"
"Matthew",1912,"0.03845916395850053800"
"Michael",1912,"0.21375198494829772700"
"Christopher",1912,"0.01528245725719363500"
"Christopher",1913,"0.01380690732311329100"
"Ryan",1913,"0.000615594594024159449600"
"Matthew",1913,"0.04317956366655175600"
"Michael",1913,"0.23032032024989622800"
"Christopher",1914,"0.01412087326304433300"
"Matthew",1914,"0.04328047655123088100"
"Ryan",1914,"0.000635439296836994993400"
"Michael",1914,"0.23850154941281878800"
"Matthew",1915,"0.04354880167122619300"
"Michael",1915,"0.22336496897284312000"
"Christopher",1915,"0.01320652882761496100"
"Christopher",1916,"0.01344076293906061500"
"Ryan",1916,"0.000361866694513170396800"
"Matthew",1916,"0.04264857471048079700"
"Michael",1916,"0.21856748348595492000"
"Christopher",1917,"0.01310577456373467700"
"Matthew",1917,"0.04295504818988323900"
"Ryan",1917,"0.000398654739581282960600"
"Michael",1917,"0.21427692252493959100"
"Matthew",1918,"0.04435517115430763300"
"Michael",1918,"0.19925282493617323100"
"Ryan",1918,"0.000552712413137789822800"
"Christopher",1918,"0.01252814803112323600"
"Christopher",1919,"0.01241565528833463900"
"Ryan",1919,"0.000284327983702319974200"
"Matthew",1919,"0.04165404961238987600"
"Michael",1919,"0.18637699331687074300"
"Christopher",1920,"0.01294944633382611900"
"Ryan",1920,"0.000530352750873424686600"
"Matthew",1920,"0.04273759250788347300"
"Michael",1920,"0.17788915185546119700"
"Ryan",1921,"0.000728205141385311759600"
"Matthew",1921,"0.03936591323135891200"
"Michael",1921,"0.18085188864286977900"
"Christopher",1921,"0.01246515859665445400"
"Christopher",1922,"0.01341105044346019100"
"Ryan",1922,"0.000349473627191145037200"
"Matthew",1922,"0.04289788773771305300"
"Michael",1922,"0.17565418186694927400"
"Christopher",1923,"0.01276890710316060900"
"Ryan",1923,"0.000434316568134714575800"
"Matthew",1923,"0.04060859912059581300"
"Michael",1923,"0.17129445447233142900"
"Ryan",1924,"0.000293918325975577906400"
"Matthew",1924,"0.03569008243989160300"
"Michael",1924,"0.16417437922350137300"
"Christopher",1924,"0.01247053468782094800"
"Christopher",1925,"0.01225730220207148400"
"Matthew",1925,"0.03600046800608407900"
"Ryan",1925,"0.000600007800101401318200"
"Michael",1925,"0.16264497152748700000"
"Christopher",1926,"0.01176006334754123200"
"Matthew",1926,"0.03410418370786957300"
"Michael",1926,"0.15318571404926856800"
"Ryan",1926,"0.000609781062465100923100"
"Ryan",1927,"0.000388040421739576587500"
"Matthew",1927,"0.03427690392032926500"
"Michael",1927,"0.15668209917795792400"
"Christopher",1927,"0.01228794668841992500"
"Christopher",1928,"0.01176506492237047500"
"Matthew",1928,"0.03467598082382876800"
"Ryan",1928,"0.000619213943282656569400"
"Michael",1928,"0.16059755914709471500"
"Christopher",1929,"0.01245337965564808700"
"Matthew",1929,"0.03339147951624322100"
"Michael",1929,"0.15952186320806358600"
"Ryan",1929,"0.000273700651772485420900"
"Ryan",1930,"0.000629693181997071926700"
"Matthew",1930,"0.02991042614486091700"
"Michael",1930,"0.16097656416910860200"
"Christopher",1930,"0.01200914854237272900"
"Christopher",1931,"0.01126215493018651900"
"Ryan",1931,"0.000712794615834589831800"
"Matthew",1931,"0.02889194176182870800"
"Michael",1931,"0.16693649902846093900"
"Christopher",1932,"0.01155683333293863300"
"Ryan",1932,"0.000663096994512872370400"
"Matthew",1932,"0.03324957786771688600"
"Michael",1932,"0.17178948564987057800"
"Ryan",1933,"0.000550149640702271017700"
"Matthew",1933,"0.02905790374981995100"
"Michael",1933,"0.17879863322823808100"
"Christopher",1933,"0.01025278875854232400"
"Christopher",1934,"0.01304878947198627100"
"Ryan",1934,"0.000625956690538086816300"
"Matthew",1934,"0.02961256651391718400"
"Michael",1934,"0.19876532450317095200"
"Christopher",1935,"0.01287125680884700300"
"Ryan",1935,"0.000526333921551364448900"
"Matthew",1935,"0.03129294406314475900"
"Michael",1935,"0.23627608223823978600"
"Matthew",1936,"0.02926460643195618000"
"Ryan",1936,"0.000625723492788536745600"
"Michael",1936,"0.28109424599115804600"
"Christopher",1936,"0.01333272365403266800"
"Christopher",1937,"0.01379833406236096100"
"Matthew",1937,"0.02839453097866796300"
"Michael",1937,"0.33514933176639326600"
"Ryan",1937,"0.000657063526779093365000"
"Christopher",1938,"0.01428182100449109000"
"Ryan",1938,"0.000361565088721293426800"
"Matthew",1938,"0.02747894674281830000"
"Michael",1938,"0.41286213568362693200"
"Matthew",1939,"0.02822828056187893200"
"Ryan",1939,"0.000953044842121314439400"
"Michael",1939,"0.49508410393816282000"
"Christopher",1939,"0.01651944393010278400"
"Christopher",1940,"0.02197420419507534600"
"Matthew",1940,"0.02905285100099882700"
"Michael",1940,"0.57793025578668519600"
"Ryan",1940,"0.000781691058322838407100"
"Christopher",1941,"0.02565221263673142400"
"Ryan",1941,"0.000533566022844013615000"
"Matthew",1941,"0.02983865373904599200"
"Michael",1941,"0.65801003678732509800"
"Ryan",1942,"0.000951725551634771659100"
"Matthew",1942,"0.03082126594140299000"
"Michael",1942,"0.80106007584520550000"
"Christopher",1942,"0.03038200799449463400"
"Christopher",1943,"0.03199189396972284300"
"Ryan",1943,"0.001204567436290782579100"
"Matthew",1943,"0.02912218919503009600"
"Michael",1943,"0.88333764379523770700"
"Christopher",1944,"0.03758227395433177500"
"Ryan",1944,"0.000854987439119318329700"
"Matthew",1944,"0.02843762569244689200"
"Michael",1944,"0.99940596959664666500"
"Ryan",1945,"0.001319288564218255561300"
"Matthew",1945,"0.02751659005369504500"
"Michael",1945,"1.13308040686859320500"
"Christopher",1945,"0.04391346220897907800"
"Christopher",1946,"0.05069902057003224700"
"Ryan",1946,"0.002034219961143269173000"
"Matthew",1946,"0.02807223546377711500"
"Michael",1946,"1.29448369619644681200"
"Christopher",1947,"0.06393022361698495300"
"Liam",1947,"0.000138797706506697683300"
"Matthew",1947,"0.02900872065989981600"
