"old_names","year","num"
"Bulah",1955,"8"
"Bulah",1956,"7"
"Bulah",1957,"7"
"Bulah",1958,"0"
"Bulah",1959,"0"
"Bulah",1960,"5"
"Bulah",1961,"0"
"Bulah",1962,"0"
"Bulah",1963,"7"
"Bulah",1964,"0"
"Bulah",1965,"0"
"Bulah",1966,"0"
"Bulah",1967,"0"
"Bulah",1968,"0"
"Bulah",1969,"0"
"Bulah",1970,"0"
"Bulah",1971,"0"
"Bulah",1972,"0"
"Bulah",1973,"0"
"Bulah",1974,"0"
"Bulah",1975,"0"
"Bulah",1976,"0"
"Bulah",1977,"0"
"Bulah",1978,"0"
"Bulah",1979,"0"
"Bulah",1980,"0"
"Bulah",1981,"0"
"Bulah",1982,"0"
"Bulah",1983,"0"
"Bulah",1984,"0"
"Bulah",1985,"0"
"Bulah",1986,"0"
"Bulah",1987,"0"
"Bulah",1988,"0"
"Bulah",1989,"0"
"Bulah",1990,"0"
"Bulah",1991,"0"
"Bulah",1992,"0"
"Bulah",1993,"0"
"Bulah",1994,"0"
"Bulah",1995,"0"
"Bulah",1996,"0"
"Bulah",1997,"0"
"Bulah",1998,"0"
"Bulah",1999,"0"
"Bulah",2000,"0"
"Bulah",2001,"0"
"Bulah",2002,"0"
"Bulah",2003,"0"
"Bulah",2004,"0"
"Bulah",2005,"0"
"Bulah",2006,"0"
"Bulah",2007,"0"
"Bulah",2008,"0"
"Bulah",2009,"0"
"Bulah",2010,"0"
"Bulah",2011,"0"
"Bulah",2012,"0"
"Bulah",2013,"0"
"Bulah",2014,"0"
"Bulah",2015,"0"
"Bulah",2016,"0"
"Bulah",2017,"0"
"Bulah",2018,"0"
"Bulah",2019,"0"
"Bulah",2020,"0"
"Bulah",2021,"0"
"Bulah",2022,"0"
"Bulah",2023,"0"
"Bulah",2024,"0"
"Bulah",2025,"0"
"Deb",1880,"0"
"Deb",1881,"0"
"Deb",1882,"0"
"Deb",1883,"0"
"Deb",1884,"0"
"Deb",1885,"0"
"Deb",1886,"0"
"Deb",1887,"0"
"Deb",1888,"0"
"Deb",1889,"0"
"Deb",1890,"0"
"Deb",1891,"0"
"Deb",1892,"0"
"Deb",1893,"0"
"Deb",1894,"0"
"Deb",1895,"0"
"Deb",1896,"0"
"Deb",1897,"0"
"Deb",1898,"0"
"Deb",1899,"0"
"Deb",1900,"0"
"Deb",1901,"0"
"Deb",1902,"0"
"Deb",1903,"0"
"Deb",1904,"0"
"Deb",1905,"0"
"Deb",1906,"0"
"Deb",1907,"0"
"Deb",1908,"0"
"Deb",1909,"0"
"Deb",1910,"0"
"Deb",1911,"0"
"Deb",1912,"0"
"Deb",1913,"0"
"Deb",1914,"0"
"Deb",1915,"0"
"Deb",1916,"0"
"Deb",1917,"0"
"Deb",1918,"0"
"Deb",1919,"0"
"Deb",1920,"0"
"Deb",1921,"0"
"Deb",1922,"0"
"Deb",1923,"0"
"Deb",1924,"0"
"Deb",1925,"0"
"Deb",1926,"0"
"Deb",1927,"0"
"Deb",1928,"0"
"Deb",1929,"0"
"Deb",1930,"0"
"Deb",1931,"0"
"Deb",1932,"0"
"Deb",1933,"0"
"Deb",1934,"0"
"Deb",1935,"0"
"Deb",1936,"0"
"Deb",1937,"0"
"Deb",1938,"0"
"Deb",1939,"0"
"Deb",1940,"0"
"Deb",1941,"0"
"Deb",1942,"0"
"Deb",1943,"0"
"Deb",1944,"0"
"Deb",1945,"0"
"Deb",1946,"0"
"Deb",1947,"0"
"Deb",1948,"0"
"Deb",1949,"0"
"Deb",1950,"0"
"Deb",1951,"0"
"Deb",1952,"0"
"Deb",1953,"7"
"Deb",1954,"24"
"Deb",1955,"32"
"Deb",1956,"64"
"Deb",1957,"172"
"Deb",1958,"236"
"Deb",1959,"236"
"Deb",1960,"201"
"Deb",1961,"144"
"Deb",1962,"104"
"Deb",1963,"81"
"Deb",1964,"61"
"Deb",1965,"36"
"Deb",1966,"17"
"Deb",1967,"12"
"Deb",1968,"0"
"Deb",1969,"11"
"Deb",1970,"0"
"Deb",1971,"7"
"Deb",1972,"5"
"Deb",1973,"0"
"Deb",1974,"0"
"Deb",1975,"0"
"Deb",1976,"0"
"Deb",1977,"0"
"Deb",1978,"0"
"Deb",1979,"0"
"Deb",1980,"0"
"Deb",1981,"0"
"Deb",1982,"0"
"Deb",1983,"0"
"Deb",1984,"0"
"Deb",1985,"0"
"Deb",1986,"0"
"Deb",1987,"0"
"Deb",1988,"0"
"Deb",1989,"0"
"Deb",1990,"0"
"Deb",1991,"0"
"Deb",1992,"0"
"Deb",1993,"0"
"Deb",1994,"0"
"Deb",1995,"0"
"Deb",1996,"0"
"Deb",1997,"0"
"Deb",1998,"0"
"Deb",1999,"0"
"Deb",2000,"0"
"Deb",2001,"0"
"Deb",2002,"0"
"Deb",2003,"0"
"Deb",2004,"0"
"Deb",2005,"0"
"Deb",2006,"0"
"Deb",2007,"0"
"Deb",2008,"0"
"Deb",2009,"0"
"Deb",2010,"0"
"Deb",2011,"0"
"Deb",2012,"0"
"Deb",2013,"0"
"Deb",2014,"0"
"Deb",2015,"0"
"Deb",2016,"0"
"Deb",2017,"0"
"Deb",2018,"0"
"Deb",2019,"0"
"Deb",2020,"0"
"Deb",2021,"0"
"Deb",2022,"0"
"Deb",2023,"0"
"Deb",2024,"0"
"Deb",2025,"0"
"Doloris",1880,"0"
"Doloris",1881,"0"
"Doloris",1882,"0"
"Doloris",1883,"0"
"Doloris",1884,"0"
"Doloris",1885,"0"
"Doloris",1886,"0"
"Doloris",1887,"0"
"Doloris",1888,"0"
"Doloris",1889,"0"
"Doloris",1890,"0"
"Doloris",1891,"0"
"Doloris",1892,"0"
"Doloris",1893,"0"
"Doloris",1894,"0"
"Doloris",1895,"0"
"Doloris",1896,"0"
"Doloris",1897,"0"
"Doloris",1898,"0"
"Doloris",1899,"0"
"Doloris",1900,"0"
"Doloris",1901,"0"
"Doloris",1902,"0"
"Doloris",1903,"0"
"Doloris",1904,"0"
"Doloris",1905,"0"
"Doloris",1906,"0"
"Doloris",1907,"0"
"Doloris",1908,"0"
"Doloris",1909,"7"
"Doloris",1910,"7"
"Doloris",1911,"7"
"Doloris",1912,"7"
"Doloris",1913,"8"
"Doloris",1914,"9"
"Doloris",1915,"20"
"Doloris",1916,"21"
"Doloris",1917,"24"
"Doloris",1918,"31"
"Doloris",1919,"29"
"Doloris",1920,"49"
"Doloris",1921,"43"
"Doloris",1922,"34"
"Doloris",1923,"34"
"Doloris",1924,"61"
"Doloris",1925,"53"
"Doloris",1926,"54"
"Doloris",1927,"68"
"Doloris",1928,"70"
"Doloris",1929,"80"
"Doloris",1930,"81"
"Doloris",1931,"99"
"Doloris",1932,"107"
"Doloris",1933,"82"
"Doloris",1934,"56"
"Doloris",1935,"57"
"Doloris",1936,"52"
"Doloris",1937,"55"
"Doloris",1938,"34"
"Doloris",1939,"37"
"Doloris",1940,"38"
"Doloris",1941,"40"
"Doloris",1942,"38"
"Doloris",1943,"43"
"Doloris",1944,"32"
"Doloris",1945,"24"
"Doloris",1946,"28"
"Doloris",1947,"24"
"Doloris",1948,"19"
"Doloris",1949,"18"
"Doloris",1950,"11"
"Doloris",1951,"13"
"Doloris",1952,"14"
"Doloris",1953,"19"
"Doloris",1954,"17"
"Doloris",1955,"8"
"Doloris",1956,"16"
"Doloris",1957,"21"
"Doloris",1958,"6"
"Doloris",1959,"14"
"Doloris",1960,"8"
"Doloris",1961,"6"
"Doloris",1962,"10"
"Doloris",1963,"7"
"Doloris",1964,"9"
"Doloris",1965,"6"
"Doloris",1966,"8"
"Doloris",1967,"0"
"Doloris",1968,"0"
"Doloris",1969,"0"
"Doloris",1970,"7"
"Doloris",1971,"5"
"Doloris",1972,"0"
"Doloris",1973,"0"
"Doloris",1974,"0"
"Doloris",1975,"0"
"Doloris",1976,"0"
"Doloris",1977,"0"
"Doloris",1978,"0"
"Doloris",1979,"0"
"Doloris",1980,"0"
"Doloris",1981,"0"
"Doloris",1982,"0"
"Doloris",1983,"0"
"Doloris",1984,"0"
"Doloris",1985,"0"
"Doloris",1986,"0"
"Doloris",1987,"0"
"Doloris",1988,"0"
"Doloris",1989,"0"
"Doloris",1990,"0"
"Doloris",1991,"0"
"Doloris",1992,"0"
"Doloris",1993,"0"
"Doloris",1994,"0"
"Doloris",1995,"0"
"Doloris",1996,"0"
"Doloris",1997,"0"
"Doloris",1998,"0"
"Doloris",1999,"0"
"Doloris",2000,"0"
"Doloris",2001,"0"
"Doloris",2002,"0"
"Doloris",2003,"0"
"Doloris",2004,"0"
"Doloris",2005,"0"
"Doloris",2006,"0"
"Doloris",2007,"0"
"Doloris",2008,"0"
"Doloris",2009,"0"
"Doloris",2010,"0"
"Doloris",2011,"0"
"Doloris",2012,"0"
"Doloris",2013,"0"
"Doloris",2014,"0"
"Doloris",2015,"0"
"Doloris",2016,"0"
"Doloris",2017,"0"
"Doloris",2018,"0"
"Doloris",2019,"0"
"Doloris",2020,"0"
"Doloris",2021,"0"
"Doloris",2022,"0"
"Doloris",2023,"0"
"Doloris",2024,"0"
"Doloris",2025,"0"
"Dorla",1880,"0"
"Dorla",1881,"0"
"Dorla",1882,"0"
"Dorla",1883,"0"
"Dorla",1884,"0"
"Dorla",1885,"0"
"Dorla",1886,"0"
"Dorla",1887,"0"
"Dorla",1888,"0"
"Dorla",1889,"0"
"Dorla",1890,"0"
"Dorla",1891,"0"
"Dorla",1892,"0"
"Dorla",1893,"0"
"Dorla",1894,"0"
"Dorla",1895,"0"
"Dorla",1896,"0"
"Dorla",1897,"0"
"Dorla",1898,"0"
"Dorla",1899,"0"
"Dorla",1900,"0"
"Dorla",1901,"0"
"Dorla",1902,"0"
"Dorla",1903,"0"
"Dorla",1904,"0"
"Dorla",1905,"0"
"Dorla",1906,"0"
"Dorla",1907,"0"
"Dorla",1908,"0"
"Dorla",1909,"0"
"Dorla",1910,"0"
"Dorla",1911,"0"
