"first_name","year","proportion"
"James",1902,"1.45371612973291650800"
"John",1902,"2.05438894534472103500"
"Robert",1902,"0.82770283373800529000"
"Margaret",1902,"1.30141467110383649700"
"Mary",1902,"3.76021699725650513400"
"Mary",1903,"3.76128016789087093400"
"Margaret",1903,"1.32948583420776495300"
"Robert",1903,"0.80194123819517313700"
"William",1903,"1.66474291710388247600"
"John",1903,"2.00655823714585519400"
"Anna",1903,"1.34207764952780692500"
"James",1903,"1.44464847848898216200"
"Charles",1903,"0.84784889821615949600"
"George",1903,"1.04616998950682056700"
"Helen",1903,"1.61542497376705141700"
"John",1904,"2.01941093079279475800"
"Anna",1904,"1.32495960186773205400"
"Helen",1904,"1.61171198857947279200"
"Charles",1904,"0.85009566674267133300"
"James",1904,"1.45780253987766553300"
"George",1904,"1.05208632808240227600"
"Margaret",1904,"1.31901141061355592800"
"Mary",1904,"3.72232851860296814700"
"Robert",1904,"0.84935214283589931700"
"William",1904,"1.59634582783951780000"
"William",1905,"1.53872283409958884000"
"John",1905,"1.91119613703431991200"
"George",1905,"1.01150444774168893900"
"Charles",1905,"0.85628758052759581300"
"Anna",1905,"1.28443137079139372000"
"Helen",1905,"1.61279288927470318900"
"James",1905,"1.43351504872347100800"
"Robert",1905,"0.80934509333062844000"
"Mary",1905,"3.80611573328175163900"
"Margaret",1905,"1.34529147982062780300"
"Margaret",1906,"1.42653418944056613200"
"Mary",1906,"3.83847861249010972100"
"Robert",1906,"0.85213945118578320500"
"William",1906,"1.53903246812354271600"
"James",1906,"1.38755657006285432900"
"John",1906,"1.93884481539312546800"
"Charles",1906,"0.84747147281719496500"
"George",1906,"0.98751082387484216400"
"Anna",1906,"1.28719503513820717000"
"Helen",1906,"1.68093901052862521000"
"Helen",1907,"1.63282408302713852900"
"James",1907,"1.45082618878789832200"
"John",1907,"1.94417585251079739600"
"Anna",1907,"1.20221749500419003400"
"Charles",1907,"0.83886632716646253700"
"George",1907,"0.96456735211328133400"
"Margaret",1907,"1.44953694750639248800"
"Mary",1907,"3.79251810309632781100"
"Robert",1907,"0.86851887664109671500"
"William",1907,"1.48971830077999097500"
"William",1908,"1.54999099556326844700"
"George",1908,"0.94648908825985167200"
"Helen",1908,"1.73314942453463433800"
"James",1908,"1.44152846220592328200"
"John",1908,"1.92387976621207904300"
"Charles",1908,"0.81019465955043303200"
"Anna",1908,"1.20127371850493606800"
"Robert",1908,"0.86872349830552872400"
"Margaret",1908,"1.43252402547437009900"
"Mary",1908,"3.83589004764165616100"
"Robert",1909,"0.89745395364849850600"
